filename,year,strongest_topic,strongest_topic_prob
10085310-m08.txt,2011,10,0.23118351
0101975a.txt,2002,17,0.4063414
05111990-a02-e.txt,2006,21,0.25928575
0207560.txt,2002,3,0.5797279
07052510-r04.txt,2007,7,0.47735214
16029600-o04.txt,2016,18,0.5241915
0109293.txt,2002,1,0.45568934
22058500-C02.txt,2022,11,0.42251834
KG-2-652-L.txt,1974,16,0.43048385
07013890-o04-e.txt,2007,0,0.2085119
06073480-n04-e.txt,2006,11,0.36852798
PADI-NC-2-031-L.txt,1990,20,0.5532995
10078990-w01.txt,2010,11,0.36777824
09016810-n05.txt,2009,7,0.6807251
07005630-r01-e.txt,2007,2,0.6833552
19082360-Y07.txt,2020,0,0.5090462
padi-le-2-001-l.txt,1982,16,0.58852506
20036970-Y03.txt,2020,11,0.46092793
PADI-LE-2-495-L.txt,1982,5,0.5399042
02010784.txt,2004,17,0.5669263
21053220-O09.txt,2021,8,0.43724248
06081560-e.txt,2007,0,0.4132421
0410253.txt,2005,10,0.25762263
21085870-R01.txt,2021,2,0.45831546
14064940-o11.txt,2016,6,0.49789065
21056320-F06.txt,2021,11,0.6388485
16093560-m05.txt,2016,11,0.48750994
11091680-l16.txt,2013,7,0.66081053
PADI-NX-2-656-L.txt,1987,13,0.55373734
06050940-r02.txt,2007,2,0.52909017
22059330-C06.txt,2022,2,0.4119196
20031900-Y01.txt,2020,2,0.69799054
19051660-M01.txt,2019,19,0.30929694
09087160-v02.txt,2009,11,0.5269224
05086350-v13-e.txt,2007,14,0.80203116
0407075.txt,2004,2,0.3714679
18012270-O10.txt,2020,7,0.47040924
0300233.txt,2003,12,0.2507233
22008910-F03.txt,2022,11,0.3723954
04053920-n04.txt,2004,11,0.4176749
17013260-E23.txt,2019,8,0.31857535
20020070-N04.txt,2022,14,0.36709225
03011050-v16-e.txt,2006,7,0.77697676
10086250-b14.txt,2013,7,0.2838627
PADI-LF-3-571-L.txt,1983,16,0.33269328
06100210-o08.txt,2008,20,0.33975825
05073780-e.txt,2005,2,0.4690965
05067020-p27.txt,2009,11,0.4736338
20035710-E11.txt,2022,1,0.5204901
20090220-G12.txt,2022,8,0.41414008
06063490-f01-e.txt,2006,11,0.67083055
0203799-padi.txt,2005,1,0.42585865
0306871.txt,2003,2,0.55211276
07078900-c05-e.txt,2007,8,0.30786347
05077720-p04-e.txt,2005,1,0.4238242
06043870-n20.txt,2010,1,0.84290665
9703039.txt,1997,22,0.42425025
09057560-t04.txt,2009,2,0.4926389
11005660-c32.txt,2014,6,0.7233121
13002500-t16.txt,2016,11,0.33243215
11085010-c01.txt,2011,11,0.60348207
05107130-t02-e.txt,2005,0,0.47168532
KH-2-804-L.txt,1975,22,0.41844076
06100630-v06-e.txt,2007,4,0.3762644
PADI-NX-1-197-L.txt,1987,1,0.30893826
19009740-Z03.txt,2019,23,0.78943425
PADI-NH-5-859-L.txt,1995,0,0.4494955
11069710-z13.txt,2013,15,0.34858516
padi-p-4-221-l.txt,1996,15,0.4925387
0207159-padi.txt,2005,9,0.53319395
16052580-W06.txt,2017,14,0.32701963
78000825-HK.txt,1979,5,0.564928
20005540-M22.txt,2022,10,0.23180665
12004460-m17.txt,2012,17,0.32769772
05004260-a29-e.txt,2006,1,0.9956627
NOPADI-PX-5-113-L.txt,1994,19,0.34053728
19032400-F20.txt,2020,17,0.5517275
07104500-v02-e.txt,2007,3,0.7767726
9907134.txt,2000,19,0.76655376
10071810-t12.txt,2011,12,0.31410915
04038820-n25.txt,2012,8,0.505196
10080980-t10.txt,2011,19,0.698839
09051660-p03.txt,2011,14,0.5216497
78000292-1-HK.txt,1979,16,0.31902745
21067380-Q03.txt,2019,2,0.5441646
0109232-padi.txt,2003,15,0.3108982
07064870-t07-e.txt,2008,7,0.34361902
