filename,years,max_year,num_unique_years
12004990-e01.txt,2012,2012,1
PADI-ND-1-558-L.txt,1991,1991,1
KF-2-740-L.txt,1973,1973,1
21060720-Y03.txt,2021,2021,1
0202828.txt,2004,2004,1
LA-2-301-L.txt,1978,1978,1
0504970.txt,2005,2005,1
NOPADI-NF-5-021-L.txt,1996,1996,1
06073060-o02.txt,2006,2006,1
0402697-padi.txt,2004,2004,1
15053440-t09.txt,2016,2016,1
9906029.txt,2000,2000,1
19046590-A11.txt,2021,2021,1
13045300-e03.txt,2013,2013,1
08108930-k06.txt,2012,2012,1
22066880-X06.txt,"2022, 2022, 2022, 2022, 2023",2023,2
04054510-s57.txt,"2010, 2010",2010,1
07048710-h04.txt,2008,2008,1
00006540-L03.txt,2000,2000,1
0405757-padi.txt,2005,2005,1
0408192.txt,2004,2004,1
0200795.txt,2002,2002,1
18003430-E01.txt,2018,2018,1
19031070-F26.txt,2022,2022,1
16074020-b06.txt,2016,2016,1
20037540-E07.txt,2020,2020,1
0308426-b.txt,2005,2005,1
0508186.txt,2005,2005,1
16073440-i17.txt,"2015, 2017",2017,2
09075180-g02.txt,2010,2010,1
19035740-O11.txt,2020,2020,1
07101460-o09.txt,2008,2008,1
20092440-E05.txt,2021,2021,1
08079670-v05.txt,2009,2009,1
19021430-B02.txt,2019,2019,1
14080350-o11.txt,2015,2015,1
15041190-M52.txt,2018,2018,1
11065460-z04.txt,2012,2012,1
10038010-c07.txt,2010,2010,1
KF-1-124-L.txt,1972,1972,1
14072920-c21.txt,2016,2016,1
21033500-N15.txt,"2021, 2021, 2022",2022,2
10037580-c05.txt,2010,2010,1
08065220-w02.txt,2008,2008,1
0009047.txt,2003,2003,1
18046630-E10.txt,2019,2019,1
20050660-F07.txt,"2020, 2020",2020,1
11039900-k03.txt,2011,2011,1
97052060.txt,"1996, 1996, 1998",1998,2
11065560-n08.txt,2011,2011,1
PADI-LF-4-024-L.txt,1983,1983,1
06038050-m18.txt,2011,2011,1
04012500-n19.txt,"2008, 2010",2010,2
